tokens,type_token_ratio,avg_sentence_len,stopword_ratio,sections,layers,training_hours,flops_per_hour,energy_kwh
10.0,0.8,10.0,0.0,0.0,38,3.290481255096115,4.752896437898476e+20,0.8884695781092276
37.0,0.3783783783783784,37.0,0.0,0.0,23,7.880148444502917,3.954987070499893e+20,1.095904131602778
22.0,0.5,22.0,0.0,0.0,56,9.422203948269894,2.3703842951020587e+20,1.832301399437229
35.0,0.4,35.0,0.0,0.0,45,2.3746574154504287,4.6743464532283195e+20,0.7604867951700425
33.0,0.3333333333333333,33.0,0.0,0.0,40,0.9146445999721513,3.7939588689277963e+20,0.2055470111250233
10.0,0.9,10.0,0.0,0.0,16,4.770095652219665,2.573383160218554e+20,0.301480970718762
28.0,0.35714285714285715,28.0,0.0,0.0,37,5.734168566783496,2.588072036411631e+20,0.7977585234590844
33.0,0.3939393939393939,33.0,0.0,0.0,57,9.302159075324798,4.486997738964551e+20,3.5807403402433735
14.0,0.6428571428571429,14.0,0.0,0.0,57,8.33036721433579,3.189062915232878e+20,2.214072797176002
13.0,0.7692307692307693,13.0,0.0,0.0,14,3.049610841046773,1.2791489518998769e+20,0.08220260262795566
11.0,0.6363636363636364,11.0,0.0,0.0,52,2.1661816322413787,3.707304516257698e+20,0.60010463095511
26.0,0.5,26.0,0.0,0.0,15,8.828515477633449,3.274279376189799e+20,0.6482400614314127
26.0,0.5,26.0,0.0,0.0,34,8.070920943116985,2.8695538780960306e+20,1.177219876874857
23.0,0.5217391304347826,23.0,0.0,0.0,26,7.415123843638551,4.965489039760397e+19,0.14179672912934133
22.0,0.5,22.0,0.0,0.0,54,5.960379311190779,3.290993830713188e+20,1.5517878646749128
29.0,0.41379310344827586,29.0,0.0,0.0,43,3.4134329379499904,3.4514245711278676e+20,0.7512844797761102
11.0,0.5454545454545454,11.0,0.0,0.0,59,7.122510160731143,2.2788311823470228e+20,1.3413333843141138
20.0,0.45,20.0,0.0,0.0,36,8.088970037805776,2.205818006908934e+20,0.9185471260717146
36.0,0.3611111111111111,36.0,0.0,0.0,39,8.417945596209584,1.748614001163245e+20,0.8693967643467934
29.0,0.41379310344827586,29.0,0.0,0.0,23,2.007084357215098,1.994546602714728e+20,0.13654753054881352
12.0,0.6666666666666666,12.0,0.0,0.0,52,2.805643270063082,1.767960398625586e+20,0.3757236299856032
28.0,0.4642857142857143,28.0,0.0,0.0,57,4.660352975857214,3.266517999362877e+20,1.2978585557330715
6.0,1.0,6.0,0.0,0.0,57,1.4977302530451209,1.6239470804993252e+20,0.21419474637278377
23.0,0.5652173913043478,23.0,0.0,0.0,56,1.6612573732179567,3.859089683157464e+20,0.5380117594008588
23.0,0.43478260869565216,23.0,0.0,0.0,10,0.5663777520578515,3.736336078583866e+19,0.0030608669250774836
19.0,0.5789473684210527,19.0,0.0,0.0,9,9.450557562263102,1.229520230922935e+20,0.15415455573681652
5.0,0.8,5.0,0.0,0.0,48,3.1733049705077585,2.2903326555449098e+20,0.5084639630369845
22.0,0.5,22.0,0.0,0.0,53,1.9318770412527653,1.9893624780189044e+20,0.2984055511323304
36.0,0.3055555555555556,36.0,0.0,0.0,9,2.0368981301026317,3.96337673120625e+20,0.10842031818557689
23.0,0.5652173913043478,23.0,0.0,0.0,12,3.197476268826515,1.1511765623465551e+20,0.06619306072979446
13.0,0.6923076923076923,13.0,0.0,0.0,33,0.8453797388845956,3.592762382971952e+20,0.14778024742445336
13.0,0.5384615384615384,13.0,0.0,0.0,8,3.0001344283288,2.8095642483325672e+20,0.09527443146059728
32.0,0.40625,32.0,0.0,0.0,26,3.85583878889563,1.8924654513697505e+20,0.2850589337775304
23.0,0.43478260869565216,23.0,0.0,0.0,36,9.432390402876662,1.1778688124628345e+20,0.5785135303575228
17.0,0.5882352941176471,17.0,0.0,0.0,22,0.5215301320395639,1.4743624133419264e+20,0.024745118738891025
33.0,0.30303030303030304,33.0,0.0,0.0,35,5.80526225970547,6.108250484590824e+19,0.1822818408583291
39.0,0.3333333333333333,39.0,0.0,0.0,57,9.401431077676374,4.59426255811802e+20,3.7565721253051225
27.0,0.4074074074074074,27.0,0.0,0.0,47,8.872109738526818,1.3370211900328736e+20,0.8170298055716549
30.0,0.43333333333333335,30.0,0.0,0.0,35,5.127953586792518,3.046553547346295e+20,0.8192744050302259
22.0,0.45454545454545453,22.0,0.0,0.0,36,3.08333718185048,2.6369239156891307e+20,0.42348211922326817
6.0,0.6666666666666666,6.0,0.0,0.0,4,2.620343743700669,7.498908837345349e+19,0.011095541247648036
38.0,0.34210526315789475,38.0,0.0,0.0,51,6.248432284714291,4.482084843239283e+20,2.1736564923071455
24.0,0.5,24.0,0.0,0.0,36,3.7073820145822447,1.1131385707951638e+20,0.21987749798328912
21.0,0.42857142857142855,21.0,0.0,0.0,6,7.18959236024998,1.2023375923900832e+20,0.07411267069698231
17.0,0.5882352941176471,17.0,0.0,0.0,25,7.568534292535554,4.199588711418312e+20,1.1623629449145974
7.0,0.8571428571428571,7.0,0.0,0.0,54,1.0276088156837047,1.2650664956704625e+20,0.10497354521592361
39.0,0.3076923076923077,39.0,0.0,0.0,27,9.091273338022727,4.92431053655079e+20,1.8319427442438256
27.0,0.48148148148148145,27.0,0.0,0.0,32,4.169953187327609,2.9872065959854224e+20,0.5959564262906354
8.0,0.75,8.0,0.0,0.0,11,1.673770950093037,4.1849095740260726e+20,0.11249355598476331
16.0,0.6875,16.0,0.0,0.0,48,4.668208213263187,4.2936196109082945e+20,1.4383223014436943
36.0,0.3611111111111111,36.0,0.0,0.0,12,5.674287308786788,4.945289424145864e+20,0.5099617797751539
36.0,0.3611111111111111,36.0,0.0,0.0,38,1.4428769634312912,1.962751722341588e+20,0.1629789853786677
31.0,0.41935483870967744,31.0,0.0,0.0,21,3.5890899522875395,4.5422883475268705e+20,0.513617294397515
9.0,0.7777777777777778,9.0,0.0,0.0,11,3.6958432440015523,4.401982528424627e+20,0.26461137393699535
14.0,0.6428571428571429,14.0,0.0,0.0,28,1.9721215487128012,9.935909087836344e+19,0.08022119479200192
18.0,0.5555555555555556,18.0,0.0,0.0,13,3.482987899967414,3.017730550130414e+20,0.19911389271667068
10.0,0.8,10.0,0.0,0.0,55,2.501686919675031,7.408676934266212e+19,0.15239737874314294
14.0,0.6428571428571429,14.0,0.0,0.0,50,6.894022191783506,1.2033645998232016e+20,0.6064984842145388
23.0,0.4782608695652174,23.0,0.0,0.0,11,6.600799083290482,3.4001613157615934e+20,0.36138635751282205
30.0,0.36666666666666664,30.0,0.0,0.0,43,6.905898910151385,1.8632672916828537e+20,0.8142790960631656
36.0,0.3888888888888889,36.0,0.0,0.0,50,3.6032910996941077,5.323930180826029e+19,0.14632877352209758
33.0,0.3939393939393939,33.0,0.0,0.0,34,8.189618376785937,3.1128679983864375e+20,1.3045527576382252
24.0,0.4583333333333333,24.0,0.0,0.0,33,9.701259596354626,2.79154104123679e+20,1.307763911767303
19.0,0.5263157894736842,19.0,0.0,0.0,52,7.236266426849513,1.9137856214564825e+20,1.0463685052847216
7.0,0.7142857142857143,7.0,0.0,0.0,59,3.0415650308567637,1.8181010363380485e+20,0.4692353589766646
37.0,0.3783783783783784,37.0,0.0,0.0,55,4.601976895598309,3.878334124230508e+20,1.5007819796727346
28.0,0.42857142857142855,28.0,0.0,0.0,33,6.201278447613219,3.666805795001073e+19,0.1111639058206473
9.0,0.8888888888888888,9.0,0.0,0.0,33,2.0645697838081967,4.283071376076975e+20,0.44444145809725494
33.0,0.30303030303030304,33.0,0.0,0.0,8,5.786427610671032,3.7828704091703594e+20,0.2571927098297974
8.0,0.625,8.0,0.0,0.0,12,4.485996526226066,4.624031319446185e+20,0.3509781323404383
8.0,0.875,8.0,0.0,0.0,55,9.698120492577527,1.0771915113415549e+20,0.8676011815110122
23.0,0.391304347826087,23.0,0.0,0.0,10,5.81660695105073,4.597936842449692e+20,0.38218316707962446
29.0,0.41379310344827586,29.0,0.0,0.0,26,9.331014700430718,4.225522619607643e+20,1.5202984495012204
28.0,0.42857142857142855,28.0,0.0,0.0,41,6.314517952766201,1.3619257644323678e+20,0.5223459252829366
11.0,0.6363636363636364,11.0,0.0,0.0,26,9.172513545609293,1.546933416661176e+20,0.5301561896324374
9.0,0.6666666666666666,9.0,0.0,0.0,38,7.738345008002772,2.552683165202155e+20,1.076535172479073
39.0,0.358974358974359,39.0,0.0,0.0,17,3.4741507910448908,4.2078369551593564e+20,0.38174475500246424
31.0,0.3870967741935484,31.0,0.0,0.0,57,2.862576306265163,2.391194588064926e+20,0.5803055553410202
36.0,0.3333333333333333,36.0,0.0,0.0,49,2.7862044990509784,1.1261276935707735e+20,0.23112769867302782
28.0,0.42857142857142855,28.0,0.0,0.0,34,4.212030332463193,6.345352022600096e+19,0.1346191499922917
9.0,0.8888888888888888,9.0,0.0,0.0,46,5.062224337167414,4.654171375747345e+20,1.650658889256617
20.0,0.5,20.0,0.0,0.0,13,7.885449080132431,3.2738799534386905e+20,0.4866318576287393
17.0,0.6470588235294118,17.0,0.0,0.0,35,5.433952921420905,4.971686613740183e+20,1.405403446527154
19.0,0.47368421052631576,19.0,0.0,0.0,10,5.700945514502417,3.050561424938547e+20,0.24903575304097783
11.0,0.5454545454545454,11.0,0.0,0.0,40,2.616153847361123,4.690826297091725e+20,0.6875623916249006
34.0,0.38235294117647056,34.0,0.0,0.0,6,1.6204088374189087,2.9534234006855195e+20,0.04329980748476499
10.0,0.7,10.0,0.0,0.0,9,3.715857028569686,2.0950180608954342e+20,0.10194179344598663
32.0,0.40625,32.0,0.0,0.0,30,7.840562524885514,3.720733025458095e+20,1.314956744597317
23.0,0.43478260869565216,23.0,0.0,0.0,35,3.459265566294226,3.065272536935451e+20,0.5368010689312658
12.0,0.5833333333333334,12.0,0.0,0.0,11,1.1978492607048863,2.4995370378936805e+20,0.046877133936882226
18.0,0.6111111111111112,18.0,0.0,0.0,49,6.879168763131639,4.9156070319293124e+20,2.451364328534794
14.0,0.6428571428571429,14.0,0.0,0.0,43,9.905055588055365,9.014351862863068e+19,0.5613706281766896
26.0,0.46153846153846156,26.0,0.0,0.0,49,2.003549042138287,2.7900104134178433e+20,0.4052758450343373
31.0,0.41935483870967744,31.0,0.0,0.0,25,8.578514063556756,1.5279900113907725e+20,0.4916249241186268
32.0,0.40625,32.0,0.0,0.0,22,4.717944079312823,2.5908335724832054e+20,0.4040447485900649
25.0,0.48,25.0,0.0,0.0,54,0.922526258589371,3.0166586220854654e+20,0.22233796805915784
22.0,0.5454545454545454,22.0,0.0,0.0,36,5.679354831090723,3.587095209241491e+20,1.0877743173222263
39.0,0.358974358974359,39.0,0.0,0.0,48,8.608999578442914,7.985233045000969e+19,0.5068717753610429
25.0,0.52,25.0,0.0,0.0,55,1.3222263513314743,1.2698583951742191e+20,0.13810525672854676
35.0,0.34285714285714286,35.0,0.0,0.0,14,6.928441942695857,4.375588198786545e+20,0.6364846047651899
17.0,0.5882352941176471,17.0,0.0,0.0,44,4.890886718611901,4.57445298004534e+20,1.4400005354056096
24.0,0.5,24.0,0.0,0.0,26,1.4189218527391931,2.6303830911390584e+20,0.14361921372909395
36.0,0.3888888888888889,36.0,0.0,0.0,35,8.971741380289718,6.576264898576901e+19,0.315030147801594
31.0,0.45161290322580644,31.0,0.0,0.0,13,8.297663279477284,2.8350643061682192e+20,0.46274599322618176
9.0,0.7777777777777778,9.0,0.0,0.0,47,3.776424405728178,4.9584710587474005e+20,1.3013089050084985
17.0,0.5882352941176471,17.0,0.0,0.0,9,8.953568629986647,3.9087940524005504e+20,0.4607492854349925
23.0,0.5652173913043478,23.0,0.0,0.0,23,3.2121104523884254,9.906752350713851e+19,0.1096810404295643
37.0,0.3783783783783784,37.0,0.0,0.0,15,6.637097609068094,3.4069019359197622e+19,0.05185544412826478
23.0,0.4782608695652174,23.0,0.0,0.0,41,2.469934386194984,4.383868740734495e+20,0.6498450993402447
24.0,0.5416666666666666,24.0,0.0,0.0,54,4.605385817966623,2.0074760498017413e+20,0.7471972037914927
34.0,0.4117647058823529,34.0,0.0,0.0,9,9.806380431777303,1.1863774641650108e+20,0.1591232644259418
25.0,0.44,25.0,0.0,0.0,3,1.3194808069256019,7.97460337330698e+19,0.0046198316620367705
34.0,0.4117647058823529,34.0,0.0,0.0,12,8.000545352247512,3.509219529704897e+20,0.5120011301707615
13.0,0.5384615384615384,13.0,0.0,0.0,44,4.143063038801704,1.4100166329417289e+20,0.3631659725479094
19.0,0.5263157894736842,19.0,0.0,0.0,57,5.257847898739161,4.888199163833657e+20,2.128654839413912
33.0,0.42424242424242425,33.0,0.0,0.0,2,1.9114381694791556,4.450373275616617e+20,0.025812415986250385
10.0,0.6,10.0,0.0,0.0,40,8.322207427687223,5.9302524840659575e+19,0.27933679859360144
19.0,0.5263157894736842,19.0,0.0,0.0,35,7.204703276771595,2.2472946365936576e+20,0.8234128472863588
10.0,0.9,10.0,0.0,0.0,56,4.29499308084803,7.047071616890229e+19,0.2601761964838039
32.0,0.375,32.0,0.0,0.0,36,2.7285592226994595,1.2442544866461501e+20,0.18210898302609838
25.0,0.44,25.0,0.0,0.0,32,3.3951371695028154,2.673119481038797e+20,0.42502884147620984
14.0,0.6428571428571429,14.0,0.0,0.0,11,2.705385256659609,4.90513687615743e+20,0.2134335764603435
6.0,0.8333333333333334,6.0,0.0,0.0,41,8.83257856568121,4.546461483873245e+20,2.4339813801601418
33.0,0.3939393939393939,33.0,0.0,0.0,15,7.835587578850896,3.7530360613435035e+20,0.6639019222951541
32.0,0.40625,32.0,0.0,0.0,45,1.4284982775986963,3.1456566159159715e+20,0.3038211674673185
31.0,0.41935483870967744,31.0,0.0,0.0,43,3.948601758541572,3.6550499554820345e+20,0.9310358588318158
39.0,0.358974358974359,39.0,0.0,0.0,56,6.334975410740502,3.983982347140501e+19,0.2171035651886061
25.0,0.52,25.0,0.0,0.0,13,3.813310159727628,6.127761444202157e+19,0.045429059922964844
39.0,0.358974358974359,39.0,0.0,0.0,7,1.6548011081560803,2.4528421402383945e+20,0.04364455113180512
19.0,0.6842105263157895,19.0,0.0,0.0,48,1.5213146362217929,2.074729524785058e+20,0.22970673971354108
24.0,0.4583333333333333,24.0,0.0,0.0,8,9.984709906558338,4.297340805701302e+20,0.5023061567222521
23.0,0.43478260869565216,23.0,0.0,0.0,15,4.366424478537967,2.8361096978118554e+20,0.2686782843956113
25.0,0.56,25.0,0.0,0.0,43,5.339233699307164,2.4225894143482846e+20,0.8406889764030322
29.0,0.4827586206896552,29.0,0.0,0.0,11,6.12088036064498,4.483327767899827e+19,0.04559923305429138
24.0,0.4583333333333333,24.0,0.0,0.0,46,4.4176859011335115,3.7321527965324234e+20,1.1098271556254287
21.0,0.5238095238095238,21.0,0.0,0.0,53,8.836011097696236,2.560363615646273e+20,1.7590206247637576
5.0,1.0,5.0,0.0,0.0,40,0.5732189718189118,4.813226611191069e+20,0.16968051776569973
33.0,0.3333333333333333,33.0,0.0,0.0,16,6.4656811500624505,2.912713270712758e+20,0.4462088532040263
21.0,0.5714285714285714,21.0,0.0,0.0,49,9.570374078543928,4.4650321374734326e+20,3.1116394363902447
24.0,0.4583333333333333,24.0,0.0,0.0,12,0.8334083499184965,7.078081643700337e+19,0.01035852519477281
34.0,0.38235294117647056,34.0,0.0,0.0,2,0.5433321979973611,1.6511279807578803e+20,0.0027055812183297374
8.0,0.75,8.0,0.0,0.0,9,3.2975006340995856,3.8056266651803406e+20,0.164894600328341
26.0,0.4230769230769231,26.0,0.0,0.0,28,8.759479583305907,3.509263603600915e+20,1.2602649471494283
26.0,0.5,26.0,0.0,0.0,52,3.5724582646042333,3.556335475603252e+20,0.9876758211828808
25.0,0.44,25.0,0.0,0.0,6,6.508830551966817,4.597181438000358e+19,0.026274749674506975
27.0,0.5185185185185185,27.0,0.0,0.0,51,8.498659649202414,1.5453764660692982e+20,1.0113587197290288
17.0,0.5882352941176471,17.0,0.0,0.0,32,8.171840961145808,4.9561945217611596e+20,1.895838911401945
33.0,0.36363636363636365,33.0,0.0,0.0,39,5.115104383954102,4.1818102218865574e+20,1.2454606568408169
25.0,0.48,25.0,0.0,0.0,46,1.5275094004095395,3.280986940205726e+20,0.3410838798658378
27.0,0.4444444444444444,27.0,0.0,0.0,28,5.094683363022198,2.408825191633917e+19,0.0508655485931626
13.0,0.6923076923076923,13.0,0.0,0.0,38,0.9264640504534364,2.754792264894688e+20,0.1429957543662639
8.0,1.0,8.0,0.0,0.0,17,1.8523639981763615,4.485298227321363e+20,0.22033889946956767
19.0,0.6842105263157895,19.0,0.0,0.0,35,6.468621468005582,4.4824866522655425e+19,0.15386886729062677
23.0,0.5217391304347826,23.0,0.0,0.0,53,5.526779822584354,3.0065891871908574e+20,1.3044713729280633
6.0,0.8333333333333334,6.0,0.0,0.0,12,1.7473814635795255,4.4629508733818615e+20,0.13834499313869983
8.0,0.625,8.0,0.0,0.0,8,6.411620244504911,3.680068368525231e+20,0.2661538656195674
10.0,0.7,10.0,0.0,0.0,26,3.6312590286580213,2.4926410831449604e+20,0.3424154243336902
37.0,0.32432432432432434,37.0,0.0,0.0,29,6.414147897958551,4.140907221364796e+19,0.11609457327840116
5.0,0.8,5.0,0.0,0.0,33,8.599700851147965,4.8223487649552866e+20,1.9946397241547849
17.0,0.5882352941176471,17.0,0.0,0.0,31,1.3039139360352476,3.943453111806852e+20,0.2331688375004313
8.0,0.75,8.0,0.0,0.0,16,8.48442012487373,1.9238648106617163e+20,0.3813024141277982
6.0,0.8333333333333334,6.0,0.0,0.0,41,2.536791021281249,2.0239673461929794e+20,0.31120346191160436
19.0,0.47368421052631576,19.0,0.0,0.0,22,8.454190317506868,4.174377946124865e+20,1.1117867791521103
17.0,0.6470588235294118,17.0,0.0,0.0,20,6.648960779942887,1.9888583533720856e+20,0.39309812615144174
6.0,0.8333333333333334,6.0,0.0,0.0,25,2.013469996115032,7.14665978104959e+19,0.05318150804952595
29.0,0.41379310344827586,29.0,0.0,0.0,46,1.4118360086161803,4.070120998469419e+20,0.3920086104870473
39.0,0.3076923076923077,39.0,0.0,0.0,19,1.5617289817146771,6.574132627277985e+19,0.029564852452634776
18.0,0.5555555555555556,18.0,0.0,0.0,59,9.757992560273054,7.245316785907219e+19,0.6078489328850981
38.0,0.3684210526315789,38.0,0.0,0.0,56,3.2789171170901623,2.264684825239568e+20,0.6372200458160736
8.0,0.75,8.0,0.0,0.0,11,1.3774757213020536,3.4332542803995735e+20,0.07595134412588665
14.0,0.6428571428571429,14.0,0.0,0.0,32,2.7130219170690717,3.456015336250442e+20,0.4387011254294483
8.0,0.5,8.0,0.0,0.0,44,4.34582089603945,3.985882671863633e+20,1.0365444231200645
